bin,n,draws,draw_rate_%,prob_low_%,prob_high_%,avg_draw_odds,ev_est,enough_n
≤2.25,8,4.0,50.0,21.52,78.48,2.033,0.0163,False
2.50–2.75,64,27.0,42.19,30.87,54.39,2.715,0.1452,True
2.75–3.00,1385,451.0,32.56,30.15,35.08,2.95,-0.0395,True
3.00–3.25,1637,530.0,32.38,30.15,34.68,3.156,0.0217,True
3.25–3.50,973,278.0,28.57,25.82,31.49,3.384,-0.0331,True
3.50–4.00,404,106.0,26.24,22.19,30.74,3.73,-0.0212,True
4.00–5.00,98,13.0,13.27,7.92,21.38,4.418,-0.4139,True
5.00–6.00,9,1.0,11.11,1.99,43.5,5.5,-0.3889,False
>6.00,4,1.0,25.0,4.56,69.94,6.375,0.5938,False
